,two_qubit_reduction,one_qubit_reduction,cx_count_out,cx_count_in,one_qubit_count_out,one_qubit_count_in,n_qubits,n_rep,non_matching_cx,time_diff,arch,algorithm,p_edge,circ_reps
230,-0.3333333333333333,-11.833333333333334,16,12,77,6,4,17,4,0.011041641235351562,line,pyzx,0.5,1
231,0.0,-3.5,12,12,27,6,4,17,6,0.005517721176147461,line,tket,0.5,1
232,0.2,0.0,8,10,7,7,4,18,0,0.012992143630981445,line,divide_fast,0.5,1
233,0.0,0.0,6,10,7,7,4,18,2,1.3629209995269775,line,pauli_opt,0.5,1
234,-4.1,-16.571428571428573,51,10,123,7,4,18,25,0.0164186954498291,line,pyzx,0.5,1
235,-0.4,-3.0,14,10,28,7,4,18,0,0.005663871765136719,line,tket,0.5,1
236,0.25,0.0,6,8,6,6,4,19,0,0.01217794418334961,line,divide_fast,0.5,1
237,0.0,0.0,8,8,6,6,4,19,0,1.3093609809875488,line,pauli_opt,0.5,1
238,0.5,-8.666666666666666,4,8,58,6,4,19,2,0.011642932891845703,line,pyzx,0.5,1
239,0.5,-3.3333333333333335,4,8,26,6,4,19,2,0.0046808719635009766,line,tket,0.5,1
240,0.0,0.0,24,24,24,24,4,0,0,0.019509077072143555,fully_connected,divide_fast,0.5,3
241,0.0,0.0,24,24,24,24,4,0,0,1.4430298805236816,fully_connected,pauli_opt,0.5,3
242,0.5416666666666666,-2.5833333333333335,11,24,86,24,4,0,0,0.021245241165161133,fully_connected,pyzx,0.5,3
243,0.375,-0.25,15,24,30,24,4,0,0,0.006617069244384766,fully_connected,tket,0.5,3
244,0.0,0.0,30,30,27,27,4,1,0,0.02330303192138672,fully_connected,divide_fast,0.5,3
245,0.0,0.0,30,30,27,27,4,1,0,1.5198540687561035,fully_connected,pauli_opt,0.5,3
246,0.5666666666666667,-2.2962962962962963,13,30,89,27,4,1,0,0.02390003204345703,fully_connected,pyzx,0.5,3
247,0.7333333333333333,0.1111111111111111,8,30,24,27,4,1,0,0.005360841751098633,fully_connected,tket,0.5,3
248,0.0,0.0,24,24,24,24,4,2,0,0.019536972045898438,fully_connected,divide_fast,0.5,3
249,0.0,0.0,24,24,24,24,4,2,0,1.4201481342315674,fully_connected,pauli_opt,0.5,3
250,0.6666666666666666,-2.3333333333333335,8,24,80,24,4,2,0,0.020785808563232422,fully_connected,pyzx,0.5,3
251,0.20833333333333334,-0.16666666666666666,19,24,28,24,4,2,0,0.006809234619140625,fully_connected,tket,0.5,3
252,0.0,0.0,12,12,18,18,4,3,0,0.01675105094909668,fully_connected,divide_fast,0.5,3
253,0.0,0.0,12,12,18,18,4,3,0,1.3257191181182861,fully_connected,pauli_opt,0.5,3
254,0.5,-1.5555555555555556,6,12,46,18,4,3,0,0.014037847518920898,fully_connected,pyzx,0.5,3
255,0.0,-0.6111111111111112,12,12,29,18,4,3,0,0.006344318389892578,fully_connected,tket,0.5,3
256,0.0,0.0,6,6,15,15,4,4,0,0.013661861419677734,fully_connected,divide_fast,0.5,3
257,0.0,0.0,6,6,15,15,4,4,0,1.2576632499694824,fully_connected,pauli_opt,0.5,3
258,0.0,-2.3333333333333335,6,6,50,15,4,4,0,0.015556812286376953,fully_connected,pyzx,0.5,3
259,0.6666666666666666,-0.5333333333333333,2,6,23,15,4,4,0,0.0042858123779296875,fully_connected,tket,0.5,3
260,0.0,0.0,36,36,30,30,4,5,0,0.028905868530273438,fully_connected,divide_fast,0.5,3
